Moves Level4
(3, E)->(3, F)
(3, F)->(2, F)
(2, F)->(2, G)
(2, G)->(3, G)
(3, G)->(4, G)
(4, G)->(4, H)
(4, H)->(5, H)
(5, H)->(5, G)
(5, G)->(4, G)
(4, G)->(3, G)
(3, G)->(2, G)
(2, G)->(2, F)
(2, F)->(1, F)
(1, F)->(1, E)
(1, E)->(1, D)
(1, D)->(2, D)
(2, D)->(2, C)
(2, C)->(3, C)
(3, C)->(4, C)
(4, C)->(5, C)
(5, C)->(5, D)
(5, D)->(6, D)
(6, D)->(6, E)
(6, E)->(5, E)
(5, E)->(5, D)
(5, D)->(5, C)
(5, C)->(4, C)
(4, C)->(3, C)
(3, C)->(2, C)
(2, C)->(2, D)
(2, D)->(1, D)
(1, D)->(1, E)
(1, E)->(1, F)
(1, F)->(2, F)
(2, F)->(3, F)
(3, F)->(3, E)
(3, E)->(3, D)
(3, D)->(3, E)
(3, E)->(3, F)
(3, F)->(3, G)
(3, G)->(4, G)
(4, G)->(5, G)
(5, G)->(5, F)
(5, F)->(5, E)
(5, E)->(4, E)
(4, E)->(5, E)
(5, E)->(5, F)
(5, F)->(5, G)
(5, G)->(4, G)
(4, G)->(3, G)
(3, G)->(2, G)
(2, G)->(2, F)
(2, F)->(1, F)
(1, F)->(1, E)
(1, E)->(1, D)
(1, D)->(2, D)
(2, D)->(3, D)
(3, D)->(3, E)
(3, E)->(3, D)
(3, D)->(2, D)
(2, D)->(2, C)
(2, C)->(2, B)
(2, B)->(3, B)
(3, B)->(3, C)
(3, C)->(4, C)
(4, C)->(5, C)
(5, C)->(5, D)
(5, D)->(5, E)
(5, E)->(4, E)
(4, E)->(3, E)
(3, E)->(3, D)
(3, D)->(3, E)
(3, E)->(4, E)
(4, E)->(5, E)
(5, E)->(5, D)
(5, D)->(5, C)
(5, C)->(4, C)
(4, C)->(3, C)
(3, C)->(3, D)
(3, D)->(2, D)
(2, D)->(1, D)
(1, D)->(1, E)
(1, E)->(1, F)
(1, F)->(2, F)
(2, F)->(2, G)
(2, G)->(3, G)
(3, G)->(4, G)
(4, G)->(5, G)
(5, G)->(5, F)
(5, F)->(5, E)
(5, E)->(4, E)
(4, E)->(3, E)
(3, E)->(3, D)
(3, D)->(3, C)
(3, C)->(4, C)
(4, C)->(5, C)
(5, C)->(5, D)
(5, D)->(6, D)
(6, D)->(6, E)
(6, E)->(5, E)
(5, E)->(5, D)
(5, D)->(5, C)
(5, C)->(4, C)
(4, C)->(3, C)
(3, C)->(3, B)
(3, B)->(2, B)
(2, B)->(2, C)
(2, C)->(3, C)
(3, C)->(4, C)
(4, C)->(5, C)
(5, C)->(5, D)
(5, D)->(5, E)
(5, E)->(5, F)
(5, F)->(5, G)
(5, G)->(4, G)
(4, G)->(3, G)
(3, G)->(3, F)
(3, F)->(3, E)
(3, E)->(3, D)
(3, D)->(3, E)
(3, E)->(3, F)
(3, F)->(2, F)
(2, F)->(1, F)
(1, F)->(1, E)
(1, E)->(1, D)
(1, D)->(2, D)
(2, D)->(2, C)
(2, C)->(3, C)
(3, C)->(2, C)
(2, C)->(2, D)
(2, D)->(1, D)
(1, D)->(1, E)
(1, E)->(1, F)
(1, F)->(2, F)
(2, F)->(3, F)
(3, F)->(3, E)
(3, E)->(3, D)
(3, D)->(3, E)
(3, E)->(3, F)
(3, F)->(3, G)
(3, G)->(4, G)
(4, G)->(5, G)
(5, G)->(5, F)
(5, F)->(5, E)
(5, E)->(4, E)
(4, E)->(5, E)
(5, E)->(5, F)
(5, F)->(5, G)
(5, G)->(4, G)
(4, G)->(3, G)
(3, G)->(2, G)
(2, G)->(2, F)
(2, F)->(1, F)
(1, F)->(1, E)
(1, E)->(1, D)
(1, D)->(2, D)
(2, D)->(3, D)
(3, D)->(3, E)
(3, E)->(3, D)
(3, D)->(2, D)
(2, D)->(2, C)
(2, C)->(2, B)
(2, B)->(3, B)
(3, B)->(3, C)
